2015-07-25 15:12:53.769941: updated weight of base 1, zone 2 to 2.80
2015-07-25 15:13:01.976410: updated weight of base 1, zone 1 to 2.45
2015-07-25 15:13:10.478897: updated weight of base 1, zone 2 to 2.82
2015-07-25 15:13:18.664365: updated weight of base 1, zone 1 to 2.46
2015-07-25 15:13:26.893836: updated weight of base 1, zone 2 to 2.75
2015-07-25 15:13:35.085304: updated weight of base 1, zone 1 to 2.55
2015-07-25 15:13:43.278773: updated weight of base 1, zone 2 to 2.85
2015-07-25 15:13:51.493243: updated weight of base 1, zone 1 to 2.48
2015-07-25 15:13:59.686711: updated weight of base 1, zone 2 to 2.85
2015-07-25 15:14:07.905181: updated weight of base 1, zone 1 to 2.58
2015-07-25 15:14:16.082649: updated weight of base 1, zone 2 to 2.71
2015-07-25 15:14:24.296119: updated weight of base 1, zone 1 to 2.46
2015-07-25 15:14:32.539590: updated weight of base 1, zone 2 to 2.73
2015-07-25 15:14:40.694057: updated weight of base 1, zone 1 to 2.45
2015-07-25 15:14:48.926528: updated weight of base 1, zone 2 to 2.83
2015-07-25 15:14:57.588023: updated weight of base 1, zone 1 to 2.44
2015-07-25 15:15:05.747490: updated weight of base 1, zone 2 to 2.83
2015-07-25 15:15:13.969960: updated weight of base 1, zone 1 to 2.59
2015-07-25 15:15:22.180430: updated weight of base 1, zone 2 to 2.67
2015-07-25 15:15:33.940102: updated weight of base 1, zone 1 to 2.49
2015-07-25 15:15:42.115570: updated weight of base 1, zone 2 to 2.67
2015-07-25 15:21:56.413979: weight for base 1, zone 1 requested
2015-07-25 16:06:43.056646: updated weight of base 1, zone 1 to 0.77
2015-07-25 16:14:50.694537: Attempting server start
2015-07-25 16:14:50.713538: Server started
2015-07-25 16:14:57.322916: updated weight of base 1, zone 1 to 1.00
2015-07-25 16:15:05.544386: updated weight of base 1, zone 2 to 0.62
2015-07-25 16:15:12.149764: Attempting server start
2015-07-25 16:15:12.178766: Server started
2015-07-25 16:15:13.751856: updated weight of base 1, zone 1 to 1.03
2015-07-25 16:15:30.156794: updated weight of base 1, zone 1 to 1.42
2015-07-25 16:15:46.591734: updated weight of base 1, zone 1 to 0.54
2015-07-25 16:15:56.173282: weight for base 1, zone 2 requested
2015-07-25 16:16:00.279517: weight for base 1, zone 2 requested
2015-07-25 16:16:01.406581: weight for base 1, zone 2 requested
2015-07-25 16:16:02.948670: weight for base 1, zone 2 requested
2015-07-25 16:16:03.009673: updated weight of base 1, zone 1 to 0.65
2015-07-25 16:16:03.851721: weight for base 1, zone 2 requested
2015-07-25 16:16:04.620765: weight for base 1, zone 2 requested
2015-07-25 16:16:05.333806: weight for base 1, zone 2 requested
2015-07-25 16:16:06.207856: weight for base 1, zone 2 requested
2015-07-25 16:16:06.928897: weight for base 1, zone 2 requested
2015-07-25 16:16:09.458042: weight for base 1, zone 1 requested
2015-07-25 16:16:10.558105: weight for base 1, zone 1 requested
2015-07-25 16:16:12.726229: weight for base 1, zone 1 requested
2015-07-25 16:16:19.442613: updated weight of base 1, zone 1 to 0.64
2015-07-25 16:16:20.006645: weight for base 1, zone 1 requested
2015-07-25 16:16:28.897154: weight for base 1, zone 2 requested
2015-07-25 16:16:35.849551: updated weight of base 1, zone 1 to 0.75
2015-07-25 16:16:36.502589: weight for base 1, zone 2 requested
2015-07-25 16:16:44.112024: weight for base 1, zone 1 requested
2015-07-25 16:16:47.143197: weight for base 1, zone 2 requested
2015-07-25 16:16:52.236489: updated weight of base 1, zone 1 to 1.47
2015-07-25 16:17:12.748662: updated weight of base 1, zone 1 to 0.60
2015-07-25 16:17:29.151600: updated weight of base 1, zone 1 to 1.23
2015-07-25 16:17:45.588540: updated weight of base 1, zone 1 to 0.39
2015-07-25 16:18:02.009480: updated weight of base 1, zone 1 to 1.40
2015-07-25 16:18:41.002710: updated weight of base 1, zone 1 to 1.49
2015-07-25 16:18:46.253010: updated weight of base 1, zone 2 to 1.38
2015-07-25 16:18:51.454308: updated weight of base 1, zone 1 to 0.50
2015-07-25 16:19:01.844902: updated weight of base 1, zone 1 to 1.50
2015-07-25 16:19:12.242497: updated weight of base 1, zone 1 to 0.95
2015-07-25 16:19:22.643092: updated weight of base 1, zone 1 to 1.41
2015-07-25 16:19:32.147635: updated weight of base 1, zone 2 to 1.22
2015-07-25 16:19:33.074688: updated weight of base 1, zone 1 to 1.51
2015-07-25 16:19:34.812788: updated weight of base 1, zone 2 to 1.23
2015-07-25 16:19:36.322874: updated weight of base 1, zone 2 to 1.24
2015-07-25 16:19:40.501113: weight for base 1, zone 1 requested
2015-07-25 16:19:42.209211: weight for base 1, zone 2 requested
2015-07-25 16:19:47.042487: updated weight of base 1, zone 1 to 1.20
2015-07-25 16:19:50.336676: weight for base 1, zone 2 requested
2015-07-25 16:19:54.359906: weight for base 1, zone 1 requested
2015-07-25 16:19:57.436082: updated weight of base 1, zone 1 to 0.79
2015-07-25 16:19:59.598205: weight for base 1, zone 1 requested
2015-07-25 16:20:04.922510: weight for base 1, zone 1 requested
2015-07-25 16:20:14.438054: weight for base 1, zone 1 requested
2015-07-25 16:20:16.112150: weight for base 1, zone 1 requested
2015-07-25 16:20:17.576234: weight for base 1, zone 1 requested
2015-07-25 16:20:19.581348: weight for base 1, zone 1 requested
2015-07-25 16:20:21.172439: weight for base 1, zone 1 requested
2015-07-25 16:38:53.404055: weight for base 1, zone 1 requested
2015-07-25 16:38:54.751132: weight for base 1, zone 2 requested
2015-07-25 16:39:16.784393: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:39:20.539607: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:39:45.880057: weight for base 1, zone 2 requested
2015-07-25 16:39:49.135243: weight for base 1, zone 1 requested
2015-07-25 16:40:58.859231: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:41:02.601445: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:43:11.485817: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:43:15.222030: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:43:18.932243: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:43:22.634454: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:43:26.327666: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:43:30.036878: updated weight of base 1, zone 2 to 0.48
2015-07-25 16:43:33.737089: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:43:37.448302: updated weight of base 1, zone 2 to 0.48
2015-07-25 16:43:41.149513: updated weight of base 1, zone 1 to 1.31
2015-07-25 16:43:44.849725: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:43:48.557937: updated weight of base 1, zone 1 to 1.31
2015-07-25 16:43:52.267149: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:43:55.961361: updated weight of base 1, zone 1 to 1.32
2015-07-25 16:43:59.665572: updated weight of base 1, zone 2 to 0.48
2015-07-25 16:44:03.374785: updated weight of base 1, zone 1 to 1.31
2015-07-25 16:44:07.097998: updated weight of base 1, zone 2 to 0.46
2015-07-25 16:44:10.848212: updated weight of base 1, zone 1 to 1.32
2015-07-25 16:44:14.547424: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:44:18.252636: updated weight of base 1, zone 1 to 1.31
2015-07-25 16:44:21.963848: updated weight of base 1, zone 2 to 0.72
2015-07-25 16:44:25.757065: updated weight of base 1, zone 1 to 1.31
2015-07-25 16:44:29.486278: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:44:33.175489: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:44:36.897702: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:44:40.608914: updated weight of base 1, zone 1 to 0.55
2015-07-25 16:44:44.313126: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:44:48.038339: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:44:51.736551: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:44:55.432762: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:44:59.143974: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:45:02.854187: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:45:06.573399: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:45:10.826643: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:45:14.550856: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:45:18.292070: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:45:25.566486: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:45:29.332701: updated weight of base 1, zone 1 to 0.16
2015-07-25 16:45:33.034913: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:45:36.660120: updated weight of base 1, zone 1 to 1.31
2015-07-25 16:45:40.352331: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:45:44.087545: updated weight of base 1, zone 1 to 0.16
2015-07-25 16:45:47.772756: updated weight of base 1, zone 2 to 1.27
2015-07-25 16:45:51.525970: updated weight of base 1, zone 1 to 1.31
2015-07-25 16:45:55.212181: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:45:58.937394: updated weight of base 1, zone 1 to 0.53
2015-07-25 16:46:02.652607: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:46:06.354819: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:46:10.051030: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:46:14.426280: updated weight of base 1, zone 1 to 0.16
2015-07-25 16:46:18.167494: updated weight of base 1, zone 2 to 0.49
2015-07-25 16:46:21.879707: updated weight of base 1, zone 1 to 0.16
2015-07-25 16:46:25.617920: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:46:29.316132: updated weight of base 1, zone 1 to 0.14
2015-07-25 16:46:33.011343: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:46:36.731556: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:46:40.469770: updated weight of base 1, zone 2 to 0.47
2015-07-25 16:46:44.176982: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:46:47.870193: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:46:52.019430: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:46:55.727643: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:46:59.429854: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:47:03.149067: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:47:06.853279: updated weight of base 1, zone 1 to 0.15
2015-07-25 16:47:10.538490: updated weight of base 1, zone 2 to 0.00
2015-07-25 16:48:43.611813: updated weight of base 1, zone 1 to 0.14
